275 283 285 281 367 389 279 277 391 383 371 385 381
06:36 07:40 07:40 08:26 10:40 12:37 13:24 15:52 17:02 17:29 18:11 18:47 18:52
----- ----- ----- ----- 10:43 ----- ----- 15:54 ----- 17:33 18:13 18:49 18:56
06:43 07:49 07:49 08:35 10:49 12:44 13:30 15:59 17:09 17:40 18:18 18:54 19:02
06:48 07:57 07:57 08:44 10:56 12:50 13:36 16:05 17:15 17:47 18:24 19:00 19:09
----- ----- ----- ----- ----- ----- ----- 16:08 ----- 17:53 18:29 19:03 19:13
06:55 08:06 08:06 08:51 11:02 12:57 13:42 16:12 17:22 17:58 18:34 19:07 19:17
07:00 08:10 08:10 08:55 11:07 13:01 13:46 16:16 17:26 18:04 18:39 19:11 19:22
07:03 08:14 08:14 08:57 11:09 13:04 13:48 16:18 17:30 18:07 18:42 19:13 19:24
